"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Adithya Varma","Gireesaaya","Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu","India","",2019,"18+","165 min","Drama, International","Adithya Varma a short tempered house surgeon gets into a self-destructive phase addicting to drugs and alcohol when his girlfriend is forced to marry another person."
"Jeff Dunham: Unhinged in Hollywood","Michael Simon, Matthew McNeil","Jeff Dunham","","",2015,"18+","71 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Jeff Dunham stars in this one-hour special from the world famous Dolby Theatre in Hollywood. The telecast features a live performance by country music superstar Brad Paisley, as well as never before seen stand-up and behind-the-scenes sketches featuring Dunham and his eccentric beloved characters."
"Look Again","Jean-Marc Piché","Morena Baccarin, Paul Christie, Sadie LeBlanc","","",2011,"13+","90 min","Suspense","Just as her life is coming together, a young woman experiences a terrible tragedy when her boyfriend is murdered by an intruder from whom the woman herself barely escapes. The police capture a man they believe to be the killer, but the young woman, still unsettled, has her doubts. Things take a frightening turn when she meets her friend's new boyfriend and suspects him to be the killer."
"The Hitch Hiker","","Edmond O'Brien, Frank Lovejoy, William Talman, Jos? Torvay","","",2011,"13+","71 min","Drama","The Hitch-hiker"
"Smile Please","Vikram Phadnis","Mukta Barve, Lalit Prabhakar, Prasad Oak, Aditi Govitrikar, Trupti Khamkar, Satish Alekar, Vedashree Mahajan","India","",2019,"13+","132 min","Drama, International","Nandini Joshi, once an extremely successful photographer, has fallen prey to dementia. Her already unstable relationship with her daughter Nupur, who stays with Nandini’s ex-husband Shishir, has deteriorated over the years. When Viraj, a young graphic designer arrives on the scene, he is determined to mend the situation and help Nandini rediscover a sense of meaning in her life."
"The Who - Sensation The Story Of Tommy","Martin R Smith","The Who","","",2014,"16+","80 min","Documentary, Music Videos and Concerts","This fascinating film, made with the total co-operation of the band, tells how The Who struggled to create the first Rock Opera, Tommy, and how its success changed their lives."
"Hero","P.S. Mithran","Sivakarthikeyan, Arjun Sarja, Abhay Deol, Kalyani Priyadarshan, Ivana","India","",2019,"16+","159 min","Action, Drama, International","Set in Chennai sub-urbs, the story of ‘HERO’ missions a racy journey of Sakthi (Sivakarthikeyan) who takes it upon himself to safeguard the current education system, one that could potentially be the most rewarding to all stakeholders in society, from the ensuing conflicts that erupts between him and Mahadev (Abhay Deol), the gatekeeper of corporate lobbying."
"She's Not Our Sister","Vernon Snoop Robinson","Kellita Smith, Christian Keyes, Drew Sidora","","",2011,"13+","88 min","Drama","What happens when three sisters find out they stand to inherit a multimillion-dollar fortune, and in the process discover a half-sister their estranged father never told them about?"
"Malicious","Michael Winnick","Josh Stewart, Bojana Novakovic, Melissa Bolona","","",2018,"18+","91 min","Horror","When a pregnant newlywed suffers a traumatic event, she finds herself haunted - and connected - to a malicious entity that has possessed her unborn child."
"White Demise","Daeil Kim","Kelly MacDougall, L.J. Sams, John Spencer, Olivia Storm, Logan Spaschak, Yaz Georgia, Michelle Majumdar, Dianne Donelson","","",2021,"16+","70 min","Drama, Horror, Suspense","A desperate woman embarks on a journey to find a life-saving bullet, seeking to reverse the tragic death of her daughter, but the only way to do that is through the man who revived her murderer."
"Muklawa","Simerjit Singh","Ammy Virk, Sonam Bajwa, Gurpreet Ghuggi, BN Sharma, Karamjit Anmol, Sarbjit Cheema","India","",2019,"13+","111 min","Comedy, Drama, International","Muklawa takes us back to the times when it was a common tradition for the girl to stay back at her parent's house from a few months to up to a year after her wedding."
"Like Blood","Zaahir Abdullah","Tallie Brinson III, Sheldon A. Smith, Brandon Mitchell, Val Vega","","",2019,"18+","81 min","Drama, Suspense","Cliff is the leader and brains of an enterprise, which he runs with his two best friends, Hughes and Frank. At this point, the business has taken a toll on Cliff and he wants to get out, but that is not financially possible. Cliff's friend Stephanie convinces Cliff to exploit her husband, but the task gets complicated and takes a dangerous, dark turn, putting everyone's life in jeopardy."
"Gayatri","MADAN RAMIGANI","Dr. M MOHAN BABU, VISHNU MANCHU, Shriya Saran","","",2018,"13+","129 min","Drama","Sivaji, a stage actor, searches for his daughter who lives as an orphan. He later learns that his daughter was forcefully separated from him by his lookalike."
"Fantastic Learning Songs - Little Baby Bum","Cannis Holder","","","",2019,"ALL","37 min","Kids","Everybody loves having fun, and in this amazing collection of videos you can learn while doing it! Sing along to classic Little Baby Bum songs like the 'Times Tables Song' and 'Nature Painting!'."
